,축제명,개최장소,축제시작일자,축제종료일자,축제내용,주최기관,전화번호,주소,위도,경도
1393,오페라 팝페라 뽕페라,꽃바위문화관 3층 다목적공연장,2021-09-30,2021-09-30,콘서트,꽃바위문화관,052-209-4330,울산광역시 동구 문현3길 6,35.48705813,129.4112633
1394,박강수콘서트,꽃바위문화관 3층 다목적공연장,2021-10-21,2021-10-21,콘서트,꽃바위문화관,052-209-4330,울산광역시 동구 문현3길 6,35.48705813,129.4112633
1396,퓨전 국악의 향연,꽃바위문화관 3층 다목적공연장,2023-05-19,2023-05-19,국악,울산광역시 동구,052-209-4330,울산광역시 동구 문현3길 6,35.48705813,129.4112633
105,울진 친환경농산물 축제(예정),울진 연호공원,2022-09-30,2022-10-03,친환경농산물 축제,경상북도 울진군,054-789-6742,경상북도 울진군 울진읍 연지리 820-75,36.9934345,129.4070805
172,영덕대게축제,경상북도 영덕군 강구항 해파랑공원,2021-12-27,2021-12-31,영덕대게 홍보 및 체험축제,경상북도 영덕군청+영덕대게축제추진위원회,054-730-6393,경상북도 영덕군 강구면 강구리 232-43,36.360209,129.391384
171,해맞이축제,영덕삼사해상공원,2021-12-31,2022-01-01,경북대종타종식 및 영덕해맞이축제,경상북도청+경상북도 영덕군청,054-730-6393,경상북도 영덕군 강구면 삼사리 158-3,36.350455,129.3854643
1185,울산고래축제,장생포 고래문화특구 일원,2023-05-11,2023-05-14,"고래문화를 계승하고 보전하기 위해, 고래의 본고장 울산에서 열리는 힐링 페스티벌",울산광역시 남구청,052-226-1999,울산광역시 남구 장생포고래로 244,35.5027537,129.38079
1041,포항거리예술축제,송도 솔밭 도시 숲 및 송도동 일대,2022-10-21,2022-10-23,"거리예술 공연, 공공미술전시, 숲속 도서관, 거리예술 교육프로그램 운영",포항시,054-289-7873,경상북도 포항시 남구 송도해안길 112번길 3,36.04036853,129.3766797
173,영덕황금은어축제,오십천 둔치 일원,2022-07-29,2022-07-31,황금은어 홍보 및 체험 축제,경상북도청+경상북도 영덕군청,054-730-6586,경상북도 영덕군 영덕읍 화개리 644,36.41846472,129.3641712
1183,간절곶 해맞이 축제,울주군 서생면 간절곶 공원 일원,2023-12-31,2024-01-01,간절곶은 새해 한반도 육지부에서 해가 가장 먼저 뜨는 곳으로 매년 축제 때 마다 전국에서 관광객들이 방문한다.,울산광역시 울주군청,052-204-0315,울산광역시 울주군 서생면 간절곶1길 39-2,35.3589245,129.3602963
1320,2023년 울산병영3.1만세운동 제23회 재현행사,울산 중구 병영 일원,2023-04-05,2023-04-06,위령제+추모제+삼일만세운동재현행사+부대행사,중구문화원,052-290-3664,울산광역시 중구 병영성13길 2,35.57492612,129.3454467
623,울산쇠부리축제,달천철장 일원,2022-05-13,2022-05-15,한반도 최초의 철산지 달천철장에서 펼처지는 철문화축제,울산광역시 북구청 문화체육과,052-293-3500,울산광역시 북구 달천철장길 58,35.63424081,129.3289893
1177,울산쇠부리축제,달천철장 일원,2023-05-12,2023-05-14,체험+전시+학술,울산광역시 북구청,052-293-3500,울산광역시 북구 달천철장길 58,35.63421726,129.3289893
1184,울산쇠부리축제,달천철장 일원,2023-05-12,2023-05-14,한반도 최초의 철산지 달천철장에서 펼처지는 철문화축제,울산광역시 북구청,052-293-3500,울산광역시 북구 달천철장길 58,35.63424081,129.3289893
1317,2023 태화강마두희축제,울산 중구 성남동 일원,2023-06-23,2023-06-25,큰줄다리기+부대행사,태화강마두희축제추진위원회,052-290-3662,울산광역시 중구 시계탑거리 4,35.55511722,129.3216061
1318,2023년 외솔한글한마당,외솔기념관 및 중구 원도심 일원,2023-10-06,2023-10-09,한글을 주제로 한 전시+체험+경연+공연,ubc 울산방송,052-290-3642,울산광역시 중구 시계탑거리 4,35.55511722,129.3216061
1319,2023 문화의거리 현대미술제,울산 중구 문화의거리,2023-05-13,2023-05-21,갤러리+거리 미술작품 전시,경상일보,052-290-3666,울산광역시 중구 시계탑거리 4,35.55511722,129.3216061
1181,2023년 울산공업축제,태화강국가정원+남구둔치 일원,2023-06-01,2023-06-04,"울산의 과거와 현재, 미래를 보여주고 산업도시 울산의 정체성을 나타내는 울산의 대표축제",울산광역시,052-259-2728,울산광역시 남구 신정동 1513,35.55056694,129.3077348
1187,태화강 국가정원 봄꽃축제,태화강 국가정원,2023-05-19,2023-05-21,6천만 송이 봄꽃 물결과 함께하는 태화강 국가정원 봄꽃 전시,울산광역시,052-229-7561,울산광역시 중구 태화강국가정원길 154,35.548823,129.291263
597,울산대공원 장미축제,울산대공원 장미원,2023-05-24,2023-05-28,대한민국 최고의 장미원에서 펼쳐지는 울산대공원 장미축제,SK이노베이션,052-229-3341,울산광역시 남구 옥동 산138,35.52889099,129.2881058
1225,울산옹기축제,울주군 외고산옹기마을일원,2023-05-05,2023-05-07,웰컴투옹기마을(옹기주제전시+창작공연+옹기토크+옹기테마거리등),(재)울주문화재단,052-204-0355,울산광역시 울주군 온양읍 외고산3길 36,35.435069,129.2795088
3,울산옹기축제,온라인 축제,2022-09-30,2022-10-03,"국내 유일의 옹기특화 축제, 온라인비대면축제",울산광역시 울주군청 관광과,052-204-0355,울산광역시 울주군 온양읍 외고산2길 2-13,35.43299143,129.2784466
1182,울산옹기축제,외고산 옹기마을 일원,2023-05-05,2023-05-07,국내 유일의 옹기특화 축제,울산광역시 울주군청,052-204-0355,울산광역시 울주군 온양읍 고산리 512-4,35.43299143,129.2784466
1186,궁거랑 벚꽃 한마당,남구 무거생태하천 일원,2023-04-01,2023-04-02,울산광역시 남구 삼호동 무거생태하천에서 매년 3~4월에 개최하는 문화 행사,울산제일일보,052-226-5412,울산광역시 남구 삼호로 15,35.5500212,129.266004
620,2022 동아시아문화도시 경주 폐막식,경주예술의전당일원,2022-11-18,2022-11-18,식전공연+폐막선언및퍼포먼스+한중일공연등,경상북도경주시,054-760-2626,경상북도 경주시 양정로 260,35.85619961,129.2247246
1367,삼척맹방유채꽃행사,근덕면 상맹방리 유채밭 일대,2023-04-07,2023-04-16,농축특산물 판매장 및 향토 먹거리장터 운영+유채꽃 사진전+유채꽃따라 걷기대회 등(코로나-19 확산방지로 행사취소),삼척맹방유채꽃축제위원회,033-570-3375,강원도 삼척시 근덕면 삼척로 3916-112(마을회관),37.40072352,129.2117828
490,어린이날 가족한마당,서창운동장,2022-05-05,2022-05-05,"(축제취소)공연, 참여 및 체험부스, 사생대회 등",웅상청년회의소,055-392-6172,경상남도 양산시 대운9길 16-85,35.41161583,129.1822946
1372,삼척평생학습박람회 및 책축제,문화예술회관일원,2023-10-21,2023-10-22,개막식+평생학습유공자 포상+체험 홍보부스 운영+작품전시+공연 발표+책관련 행사 등,강원도 삼척시청,033-570-4432,강원도 강원도 삼척시청 청석로3길 16-41,37.44912555,129.1780308
1369,삼척장미축제,삼척장미공원 일원,2023-05-20,2023-05-24,공연+먹거리+체험+기타,강원도 삼척시청,033-570-3082,강원도 강원도 삼척시청 오십천로 536,37.43501045,129.1752024
1370,삼척비치썸페스티벌,삼척해변 일원,2023-07-26,2023-07-30,공연+먹거리+체험+기타,강원도 삼척시청,033-570-3081,강원도 강원도 삼척시청 테마타운길 19,37.46667271,129.1705322
1371,삼척동해왕이사부축제,이사부광장 일원,2023-10-06,2023-10-08,공연+퍼레이드+체험+연계행사 등,강원도 삼척시청,033-570-3073,강원도 강원도 삼척시 엑스포로 45,37.44988816,129.1656266
1339,2023 해운대카운트다운&해맞이축제,"해운대해수욕장, 구남로 등",2023-01-01,2023-01-01,카운트다운 행사+해맞이 행사+부대 프로그램 등,부산광역시 해운대구청,051-749-4062,부산광역시 해운대구 중동2로 11,35.16313992,129.1635303
1340,제38회 해운대 달맞이온천축제,해운대해수욕장,2023-02-03,2023-02-05,길놀이 행사+달집태우기+개막행사+무대공연 등,사단법인 해운대지구발전협의회,051-749-4062,부산광역시 해운대구 중동2로 11,35.16313992,129.1635303
1341,제18회 해운대 모래축제,"해운대 해수욕장, 구남로",2023-05-19,2023-05-22,모래작품 전시+체험프로그램+플라워카펫 등,부산광역시 해운대구청,051-749-4062,부산광역시 해운대구 중동2로 11,35.16313992,129.1635303
1342,제18회 국제매직페스티벌,"해운대해수욕장,구남로",2023-07-01,2023-07-01,매직버스킹공연+무대공연+경연대회 등,부산국제매직페스티벌조직위원회,051-749-4061,부산광역시 해운대구 중동2로 11,35.16313992,129.1635303
1343,제7회 반송한마음축제,반송동 일원,2023-07-01,2023-07-01,개막행사+무대공연 등,반송한마음축제위원회,051-749-4061,부산광역시 해운대구 중동2로 11,35.16313992,129.1635303
1344,제27회 부산바다축제,해운대해수욕장,2023-08-01,2023-08-01,개막행사+무대공연 등,부산광역시,051-749-4061,부산광역시 해운대구 중동2로 11,35.16313992,129.1635303
1345,송정해변축제,송정해수욕장 일원,2023-08-01,2023-08-01,개막행사+무대공연 등,송정축제조직위원회,051-749-4061,부산광역시 해운대구 중동2로 11,35.16313992,129.1635303
1346,달맞이언덕 인문학 축제,"어울마당, 추리문학관 등",2023-10-01,2023-10-01,인문학 강연+무대공연 등,해운대포럼,051-749-4064,부산광역시 해운대구 중동2로 11,35.16313992,129.1635303
1347,제20회 담안골 문화축제,반송동 일원,2023-10-01,2023-10-01,개막행사+무대공연 등,반송지구발전협의회,051-749-4061,부산광역시 해운대구 중동2로 11,35.16313992,129.1635303
1348,장산제,장산 일원,2023-10-01,2023-10-01,개막행사+무대공연 등,해운대를 사랑하는 모습,051-749-4061,부산광역시 해운대구 중동2로 11,35.16313992,129.1635303
1349,제11회 재송포축제,재송동 일원,2023-10-01,2023-10-01,개막행사+무대공연 등,재송발전협의회,051-749-4064,부산광역시 해운대구 중동2로 11,35.16313992,129.1635303
1350,동백섬문화관광축제,동백섬 일원,2023-10-01,2023-10-01,최치원추념헌공다례+기로연진다례 등,해운대문화예술원,051-749-4064,부산광역시 해운대구 중동2로 11,35.16313992,129.1635303
1351,제10회 수영강변축제,수영강시민공원,2023-10-01,2023-10-01,개막행사+무대공연 등,수영강변축제위원회,051-749-4061,부산광역시 해운대구 중동2로 11,35.16313992,129.1635303
1352,제18회 부산불꽃축제,"동백섬, 마린시티 일원",2023-11-01,2023-11-01,불꽃쇼+무대공연 등,부산광역시,051-749-4062,부산광역시 해운대구 중동2로 11,35.16313992,129.1635303
1353,제10회 해운대 빛축제,"구남로, 해운대해수욕장, 등",2023-12-01,2023-12-01,빛시설물 전시+체험프로그램 등,부산광역시 해운대구청,051-749-4062,부산광역시 해운대구 중동2로 11,35.16313992,129.1635303
1354,제36회 해운대북극곰축제,해운대해수욕장 일원,2023-12-01,2023-12-01,북극곰 수영대회+체험프로그램+무대공연 등,부산일보,051-749-4064,부산광역시 해운대구 중동2로 11,35.16313992,129.1635303
1355,2024 카운트다운&해맞이 축제,해운대해수욕장 일원,2023-12-31,2024-01-01,카운트다운 행사+해맞이 행사+부대 프로그램 등,부산광역시 해운대구청,051-749-4062,부산광역시 해운대구 중동2로 11,35.16313992,129.1635303
1366,삼척정월대보름제,우체국일원,2023-02-03,2023-02-05,개막식+제례행사+문화재행사+민속놀이행사 등 9개분야 46종,강원도 삼척시청,033-573-2882,강원도 강원도 삼척시청 엑스포로 45,37.43896231,129.160145
1368,황영조 국제 마라톤 대회,엑스포광장~근덕면 일원,2023-05-21,2023-05-21,황영조 국제 마라톤 대회,강원일보,033-570-3813,강원도 강원도 삼척시청 엑스포로 45,37.43896231,129.160145
1374,삼척종합예술제,문화예술회관 등 4개소,2022-09-30,2022-10-08,(사)한국예총 삼척지회 산하 7개 협회 공연+전시 등 행사 추진,(사)한국예총 삼척지회,033-570-3224,강원도 강원도 삼척시청 엑스포로 45,37.43896231,129.160145
1375,삼척민족예술제,문화예술회관일원,2022-09-26,2022-09-30,역사이야기 삼척 그.때.그.날(융복합극) 및 전시(사진+한지공예+섬유공예+인형+미술 등) 및 체험교실,(사)강원민예총 삼척지부,033-570-3224,강원도 강원도 삼척시청 엑스포로 45,37.43896231,129.160145
488,2022 양산웅상회야제,웅상체육공원,2022-05-14,2022-05-15,"(축제취소)개막식, 폐막식, 공연, 시민참여 행사 등",양산웅상회야제추진위원회,055-392-6183,경상남도 양산시 배움터길 60-19,35.37762612,129.1434299
491,부산불꽃축제,광안리해변,2023-11-04,2023-11-04,해외초청 불꽃쇼+첨단멀티 불꽃쇼,부산광역시청,051-888-5222,부산광역시 수영구 광안해변로 219,35.15377357,129.1185161
1382,제18회 영양산나물축제,영양군청 일원,2023-05-11,2023-05-14,판매+체험+공연+부대행사,경상북도 영양군청,054-680-6411,경상북도 영양군 영양읍 군청길 37,36.66735774,129.1126844
202,광안리어방축제,수영구 광안리해변 일원,2022-10-14,2022-10-16,뮤지컬어방+경상좌수사행렬전시 등,수영구축제위원회,051-610-4062,부산광역시 수영구 남천동로100,35.14537016,129.1123694
408,제21회어방축제,광안리해변일원,2023-05-12,2023-05-14,광안리어방축제,부산광역시 수영구청,051-610-4062,부산광역시 수영구 남천동로100,35.14537016,129.1123694
185,동해무릉제,동해웰빙레포츠타운,2023-09-22,2023-09-24,개막식+퍼레이드+공연행사+체험행사+동대항 민속경기+민속예술시연,강원특별자치도 동해시청,033-530-2111,강원특별자치도 동해시 덕골길 10,37.51606095,129.1021986
933,제24회 UN평화축제,평화공원(대연동 707),2022-10-15,2022-10-16,무대+체험+전시+부대행사,부산광역시 남구,,부산광역시 남구 대연동 707,35.12623753,129.1004335
1365,2022 지금여기 금정 관광후기 이벤트,금정구 일대,2022-02-01,2022-11-30,금정을 여행하는 누구나 나만의 금정 관광후기를 공유하고 타인의 관광후기를 공유 받을 수 있음,부산광역시 금정구청 문화관광과,051-519-4081,부산광역시 금정구 중앙대로 1777,35.2428426,129.0921739
203,동래읍성역사축제,동래문화회관+읍성광장+온천장 일원,2022-10-14,2022-10-16,동래부사행차 길놀이+동래성 전투 뮤지컬+동래세가닥줄다리기+동래장터 체험 등,부산광역시 동래구청,051-550-4094,부산광역시 동래구 문화로 80(명륜동),35.21195069,129.090546
388,동래읍성역사축제,동래문화회관+읍성광장+온천장 일원,2023-10-13,2023-10-15,동래부사행차길놀이+동래성저전투재현 뮤지컬+동래세가닥줄다리기+동래장터 체험 등,부산광역시 동래구청,051-550-4094,부산광역시 동래구 문화로 80(명륜동),35.21195069,129.090546
270,제4회 연제고분판타지축제,온천천시민공원 및 연산동 고분군,2023-03-31,2023-04-02,역사문화행사,연제구축제추진위원회,051-665-4065,부산광역시 연제구 거제동 1466-24,35.19588064,129.082826
204,영도다리축제,아미르공원+영도일원+영도다리축제유튜브채널,2022-10-14,2022-10-16,개막주제공연+축하공연+불꽃쇼+퍼레이드+체험행사 등,부산광역시 영도구청,051-419-4064,부산광역시 영도구 동삼동 1165,35.07714964,129.0820078
737,영도다리축제,아미르공원+영도일원+영도다리축제유튜브채널,2023-10-13,2023-10-15,개막주제공연+축하공연+불꽃쇼+퍼레이드+체험행사 등,부산광역시 영도구청,051-419-4064,부산광역시 영도구 해양로 301번길 55,35.07714964,129.0820078
738,영도커피페스티벌,아미르공원,2023-11-03,2023-11-05,개막주제공연+축하공연+체험행사 등,부산광역시 영도구청,051-419-6332,부산광역시 영도구 해양로 301번길 55,35.07714964,129.0820078
1048,전포커피축제,전포카페거리 일원,2023-10-13,2023-10-15,전포 코오피 스쿨+아바타투어 등 부산진구 SNS를 활용한 다양한 체험+이벤트 프로그램 운영,부산광역시 부산진구청,051-605-4524,부산광역시 부산진구 동천로 92(전포동),35.1570356,129.0630291
736,봉래산발복기원제,봉래산 헬기장,2023-06-11,2023-06-11,개회식+기원제+길놀이+의식공연+음복례 등,봉래산발복기원제추진위원회,051-419-5722,부산광역시 영도구 벚꽃길 1,35.08646003,129.0590783
1364,2022 금정산성축제,금정산성광장 일원,2022-10-29,2022-10-30,개막식+주제공연+전시·체험마당+연계행사 등,부산광역시 금정구청,051-519-4062,부산광역시 금정구 금성동 682,35.2452813,129.0570297
1146,청송사과축제,청송읍 용전천 변(현비암 일원),2022-11-09,2022-11-13,공연+경연+체험+전시+판매,경상북도 청송군청,054-870-6237,경상북도 청송군 청송읍 월막리 368-2,36.43271991,129.0554862
1049,부산 희망 드림 빛축제,서면1번가 일원,2023-10-13,2024-01-31,테마별 빛 시설물 조성 + 문화예술 프로그램 운영,부산광역시 부산진구청,051-605-4522,부산광역시 부산진구 시민공원로30 (범전동),35.16283064,129.053188
406,2022 양산삽량문화축전,양산천둔치 일원 및 양산종합운동장,2022-09-30,2022-10-01,"공식공연, 양산 다시 삽량에서 通하다(공연/전시.체험), 맛있는즐거움, 부대행사 등",경상남도 양산시청,055-392-2543,경상남도 양산시 양산대로 849,35.34855992,129.0354984
1115,2022 양산봄꽃축제,신기동 양산천둔치 유채꽃단지 일원,2022-04-05,2022-04-13,"(축제취소)튤립동산, 포토존, 풍차, 꽃탑 등",경상남도 양산시청,055-392-5343,경상남도 양산시 신기강변로 26(신기동),35.35002163,129.0341247
300,제23회 정동진독립영화제,정동초등학교 운동장,2022-09-23,2022-09-26,야외 독립영화제(슬로건: 별이 지는 하늘 영화가 뜨는 바다),강릉씨네마떼끄+한국영상자료원,033-645-7415,강원도 강릉시 강동면 헌화로 1055,37.68735318,129.0336174
576,부산시민의종 타종식,용두산공원,2023-12-31,2024-01-01,시민의종 타종+문화공연,부산광역시청,051-888-5224,부산광역시 중구 용두산길 37-55(광복동2가),35.10093242,129.0324385
668,부산원도심골목길축제,동구+영도구(예정),2023-05-20,2023-05-21,테마별 체험 프로그램 등,부산광역시청,051-888-5221,부산광역시 중구 중구로 120(대청동1가),35.10619736,129.0323514
1338,광복로겨울빛트리축제,광복로 및 중구 관내 일원,2023-12-01,2024-01-31,일루미네이션 크리스마스트리장식+성탄음악행사+시민참여행사+점등식 등,부산광역시 중구청,051-464-0112,부산광역시 중구 광복중앙로 2,35.0995432,129.0314651
1337,부산자갈치축제,자갈치시장 및 유라리광장 일원,2023-10-12,2023-10-15,개막식+길놀이+체험프로그램 등,(사)부산자갈치문화관광축제위원회,051-243-9363,부산광역시 중구 자갈치해안로 52,35.0966394,129.0305933
1336,부산국제영화제 전야제,BIFF광장일원,2023-10-04,2023-10-04,축하공연,(사) 부산국제영화제,051-709-2091,부산광역시 중구 비프광장로 36,35.09862035,129.0287588
1335,보수동책방골목문화축제,보수동책방골목 및 문화관,2023-10-13,2023-10-15,책읽는마을 심포지엄+공연행사+체험 등,보수동 책방골목 번영회,051-253-7220,부산광역시 중구 흑교로46번길 11,35.10362715,129.0261809
273,현인가요제,송도해수욕장,2023-08-04,2023-08-06,개막행사+현인가요제 전야제+현인가요제 본선,(사)한국연예예술인협회,02-2655-3157,부산광역시 서구 송도해변로 100,35.07682117,129.0180502
828,태백산 눈축제,태백산국립공원+황지연못 일원,2022-01-10,2022-01-19,눈조각대회+눈꽃등반대회+체험행사+공연 등,태백시문화재단,033-553-6900,강원도 태백시 장성1길 171,37.10051315,129.0082172
995,삼수 매봉산 바람개비 축제,매봉산 일원,2022-08-05,2022-08-07,공연+체험프로그램+부스 운영 등,삼수동축제위원회,033-552-1376,강원도 태백시 장성1길 171,37.10051315,129.0082172
996,장성탄탄축제활기찬동행,장성중앙시장 일원,2022-09-24,2022-09-25,공연+체험프로그램+부스 운영 등,징성동주민자치위원회,033-581-6903,강원도 태백시 장성1길 171,37.10051315,129.0082172
997,태백 황지연못 황부자며느리 축제,횡지연못(문화광장) 일원,2022-09-23,2022-09-25,마당극+걷기행사+가요제+야시장,황부자며느리축제위원회,033-552-1370,강원도 태백시 장성1길 171,37.10051315,129.0082172
998,철암 단풍축제,철암단풍군락지 일원,2022-10-14,2022-10-16,단풍길 걷기대회+전시회+먹거리 장터 등,철암단풍축제위원회,033-582-7906,강원도 태백시 장성1길 171,37.10051315,129.0082172
999,태백산 눈축제,태백산국립공원+황지연못 일원,2023-01-01,2023-01-01,눈조각대회+눈꽃등반대회+체험행사+공연 등,태백시문화재단,033-553-6900,강원도 태백시 장성1길 171,37.10051315,129.0082172
1100,태백 커플축제,통리 태양의 후예 공원 일원,2022-09-17,2022-09-18,문화공연+체험행사+커플이벤트 등,"황연동, 황연동주민자치위원회",033-552-1371,강원도 태백시 장성1길 171,37.10051315,129.0082172
1101,한강 낙동강 발원지 축제,황지연못(문화광장)+중앙로+ 검룡소 등,2022-07-29,2022-08-07,물놀이난장+공연+체험행사+부스 운영 등,태백시문화재단,033-553-6900,강원도 태백시 장성1길 171,37.10051315,129.0082172
1140,구문소용축제,구문소관광단지 일원,2022-08-13,2022-08-14,용신제+전통공연+체험프로그램,구문소축제위원회,033-581-6904,강원도 태백시 장성1길 171,37.10051315,129.0082172
389,영천보현산별빛축제,보현산천문과학관 일원,2023-10-07,2023-10-09,천문·우주·과학 관련 온오프라인 콘텐츠 운영+천문학 강의+스타파티+각종 참여 프로그램 등,영천보현산별빛축제위원회,054-330-6702,경상북도 영천시 화북면 별빛로 681-32,36.1402561,128.9964736
1093,제9회 낙동강 구포나루 축제,화명생태공원 연꽃단지 일원,2022-10-28,2022-10-30,개막식+체험+공연+전시등,부산광역시 북구청,051-309-4522,부산광역시 북구 낙동대로1570번길 33(구포동),35.19688402,128.9900968
486,양산시청소년한마음축제,황산공원,2022-09-06,2022-09-06,"(연기)기념식, 축하공연, 전국청소년동아리경연대회, EDM파티 등",경상남도 양산시 청소년회관,055-392-4702,경상남도 양산시 낙동로 295-9,35.30173083,128.9895949
487,2022 양산 월드 힙합 어벤져스,황산공원,2022-05-27,2022-05-29,"개막식, 축하공연, 힙합댄스 경연대회, DJ/EDM파티 등",경상남도 양산시청,055-392-2544,경상남도 양산시 낙동로 295-9,35.30173083,128.9895949
1114,2022 물금 벚꽃 축제,양산시 황산공원 일원,2022-03-26,2022-03-30,"(비대면)축하공연, 공연행사, 지역주민참여행사, 문화전시행사 등",경상남도 양산시청,055-392-7012,경상남도 양산시 낙동로 295-9,35.30173083,128.9895949
818,강서 낙동강30리 벚꽃축제(2023년),대저생태공원,2023-03-31,2023-04-02,벚꽃길 걷기대회/체험행사/문화행사,부산광역시 강서구청,051-970-4062,부산광역시 강서구 대저1동 1-17,35.20933921,128.9865079
484,배내골고로쇠축제,배내골홍보관,2022-03-26,2022-03-27,"(축제취소)고로쇠 시음회, 체험행사, 문화공연 등",배내골주민자치위원회,055-392-3232,경상남도 양산시 원동면 배내로 431,35.4865568,128.985548
667,낙동강유채꽃축제,대저생태공원,2023-04-08,2023-04-16,축제취소,부산광역시청,051-888-5221,부산광역시 강서구 공항로 1246(대저1동),35.20985086,128.9845591
282,제20회 사상전통달집놀이,삼락생태공원,2023-02-05,2023-02-05,정월대보름행사,부산광역시 사상구청,051-310-4062,부산광역시 사상구 낙동대로 1310번길 19(삼락동),35.17701002,128.9776397
283,제20회 사상강변축제,삼락생태공원,2023-10-21,2023-10-22,사상강변축제,부산광역시 사상구청,051-310-4062,부산광역시 사상구 낙동대로 1310번길 19(삼락동),35.17701002,128.9776397
577,부산국제록페스티벌,삼락생태공원,2023-10-07,2023-10-08,록밴드 초청공연 등,부산광역시청,051-888-5221,부산광역시 사상구 낙동대로 1231,35.17001086,128.9765693
1096,사하예술제,을숙도문화회관 일원,2022-09-23,2022-09-29,전시+공연+체험프로그램+연계 행사 등,부산광역시 사하구청,051-220-4062,부산광역시 사하구 낙동남로1233번길 25,35.110059,128.9449571
485,원동매화축제,원동마을 일원,2022-03-02,2022-03-20,"(비대면)원동매화 나무 분양 이벤트, 원동매화 사진/영상 공모 기획전",원동매화축제추진위원회,055-392-2548,경상남도 양산시 원동면 원동로 2220,35.42085217,128.9410364
1116,원동미나리축제,원동 함포마을 일원,2022-03-01,2022-03-31,"(축제취소)미나리 시식회 및 특산물 판매, 원동미나리 직판장 개설운영",원동청정미나리연구회,055-392-3232,경상남도 양산시 원동면 원동로 1708,35.38015379,128.9211173
29,2022 강릉누들축제,강릉 월화거리 일원(홈플러스 방면),2022-12-16,2022-12-18,"누들 쿠킹쇼, 쿠킹클래스, 시식회, 대형 수제비 만들기 등",강원도 강릉시청,033-640-5130,강원도 강릉시 경강로 2112,37.75538612,128.8981649
28,2022 강릉와인축제,강릉 월화거리 일원(문선빌딩 방면),2022-12-09,2022-12-11,도전 와인 골든벨+선셋 와인 아워+시음존 등 운영,강원도 강릉시청,033-647-6802,강원도 강릉시 경강로 2111,37.75589225,128.8974693
1000,강릉단오제,강릉시 남대천 단오장 및 지정행사장,2022-05-30,2022-06-06,문화재행사+단오TV+전시+시민참여행사+단오유스페스티벌+온라인 챌린지 행사 등,(사)강릉단오제위원회+(사)강릉단오제보존회,033-641-1593,강원도 강릉시 단오장길 1 (노암동),37.74820212,128.8950714
14,강릉커피축제,강릉대도호부 관아지 등,2022-10-07,2022-10-10,"커피경연대회(바리스타, 핸드드립, 커핑, 마카롱) , 커피체험(로스팅, 추출, 커핑, 공예품 등), 전시, 공연 등",강릉시,033-647-6802,강원도 강릉시 임영로131번길 6 (용강동),37.75294455,128.8919029
26,강릉커피축제,강릉대도호부 관아지 등,2022-10-06,2022-10-09,커피경연대회(바리스타+핸드드립+커핑+마카롱)+커피체험(로스팅+추출+커핑+공예품 등)+전시+공연 등,강원도 강릉시청,033-647-6802,강원도 강릉시 임영로131번길 6 (용강동),37.75294455,128.8919029
301,강릉문화재야행,강릉대도호부관아(사적388호),2022-11-11,2022-11-13,역사문화시설 개방 및 전시.체험.공연 프로그램 운영(8가지 밤의 테마와 32개 프로그램),강원도 강릉시청,033-823-3212,강원도 강릉시 임영로131번길 6 (용강동),37.75294455,128.8919029
